fid,building_volume,population_density,greenhouse_coverage,road_density,light_pollution,city
7540,243395.4375,237.68542,0.0,31.4013,163.0,Amsterdam
7541,5021.93164,200.35115,0.0,34.4308,103.0,Amsterdam
7542,794.65228,47.68479,0.0,19.85484,103.0,Amsterdam
7543,0.0,0.0,0.0,14.93011,65.0,Amsterdam
7544,0.0,0.0,0.0,13.09378,71.0,Amsterdam
7545,0.0,12.10869,0.0,39.88783,140.0,Amsterdam
7546,4921.48242,5.07973,0.0,26.01031,160.0,Amsterdam
7547,6247.60547,30.27171,0.0,28.07703,92.0,Amsterdam
7548,136.10909,0.0,0.0,25.95437,92.0,Amsterdam
7549,14.58335,0.0,0.0,29.81533,64.0,Amsterdam
7550,5768.61035,91.03916,0.0,26.22845,54.0,Amsterdam
7551,1487.11438,57.83414,0.0,11.52207,56.0,Amsterdam
7552,0.0,0.0,0.0,,91.0,Amsterdam
7553,0.0,0.0,0.0,14.41108,91.0,Amsterdam
7554,10764118.0,752.56818,0.0,39.07989,182.0,Amsterdam
7555,2216496.0,1137.95154,0.0,36.42481,215.0,Amsterdam
7556,658991.875,947.78406,0.0,44.1364,232.0,Amsterdam
7557,6682288.0,1291.52234,0.0,44.84205,226.0,Amsterdam
7558,9008585.0,1113.03247,0.0,42.07045,226.0,Amsterdam
7559,614273.1875,1423.72913,0.0,42.77515,201.0,Amsterdam
7560,733424.4375,1391.88867,0.0,42.98032,166.0,Amsterdam
7561,292904.09375,881.2417,0.0,31.27218,102.0,Amsterdam
7562,950.61206,0.0,0.0,8.79155,96.0,Amsterdam
7563,0.0,0.0,0.0,0.85176,96.0,Amsterdam
7564,203022.0,125.70889,0.0,29.78588,136.0,Amsterdam
7565,408314.8125,1057.91296,0.0,52.68165,234.0,Amsterdam
7566,4263399.0,1261.16736,0.0,41.89886,267.0,Amsterdam
7567,2388286.0,1653.48657,0.0,50.77196,245.0,Amsterdam
7568,62980.68359,808.02655,0.0,32.98908,287.0,Amsterdam
7569,240280.35938,661.42615,0.0,23.72063,287.0,Amsterdam
7570,798648.25,1620.68225,0.0,25.5157,353.0,Amsterdam
7571,95390.82031,830.66412,0.0,5.90696,323.0,Amsterdam
7572,123306.54688,341.45184,0.0,2.15817,279.0,Amsterdam
7573,346.09271,363.52002,0.0,4.52764,293.0,Amsterdam
7574,87664.78906,634.18597,0.0,4.34126,293.0,Amsterdam
7575,1237202.5,545.3595,0.0,18.10887,310.0,Amsterdam
7576,221638.57813,166.95782,0.0,18.0465,256.0,Amsterdam
7577,159813.20313,360.32101,0.0,24.16663,221.0,Amsterdam
